epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1181.55,0.89224,0.61405,0.89609,0.91039,0.87129,0.91823,0.72646,0.71748,0.46633,0.85482,0.0006665,0.0006665,0.0006665
2,2221.57,0.82532,0.51411,0.85656,0.93801,0.89434,0.93738,0.73787,0.71985,0.42823,0.82895,0.00120118,0.00120118,0.00120118
3,3257.06,0.78693,0.47696,0.84221,0.94237,0.89341,0.93717,0.7533,0.66067,0.4041,0.82104,0.00160387,0.00160387,0.00160387
4,4325.31,0.75775,0.43854,0.83057,0.95129,0.90618,0.94799,0.7732,0.63897,0.36963,0.8143,0.001406,0.001406,0.001406
5,5359.53,0.73435,0.41365,0.824,0.9561,0.91548,0.95318,0.76367,0.67683,0.35969,0.81017,0.001208,0.001208,0.001208
6,6447.3,0.71216,0.39552,0.81887,0.96338,0.92263,0.95895,0.78861,0.62749,0.32875,0.80683,0.00101,0.00101,0.00101
7,7532.18,0.68941,0.37928,0.81545,0.96363,0.92378,0.96087,0.78948,0.62484,0.32611,0.80104,0.000812,0.000812,0.000812
8,8569.12,0.66001,0.36478,0.81114,0.96904,0.93207,0.96356,0.79797,0.60002,0.31225,0.79901,0.000614,0.000614,0.000614
9,9604.65,0.63912,0.34767,0.80717,0.97151,0.93327,0.96708,0.79754,0.62308,0.31229,0.79887,0.000416,0.000416,0.000416
10,10640.5,0.61336,0.32923,0.8029,0.97149,0.9358,0.96861,0.81095,0.59533,0.29855,0.79721,0.000218,0.000218,0.000218
